date,United Kingdom,France,Germany,Canada,India,Australia
2020-01-22,0,0,0,0,0,0
2020-01-23,0,0,0,2,0,0
2020-01-24,0,2,0,3,0,0
2020-01-25,0,3,0,3,0,0
2020-01-26,0,3,0,3,0,4
2020-01-27,0,3,1,3,0,5
2020-01-28,0,4,4,4,0,5
2020-01-29,0,5,4,4,0,6
2020-01-30,0,5,4,4,1,9
2020-01-31,2,5,5,4,1,9
2020-02-01,2,6,8,4,1,12
2020-02-02,2,6,10,4,2,12
2020-02-03,8,6,12,4,3,12
2020-02-04,8,6,12,5,3,13
2020-02-05,9,6,12,6,3,13
2020-02-06,9,6,12,6,3,14
2020-02-07,9,6,13,8,3,15
2020-02-08,13,11,13,8,3,15
2020-02-09,14,11,14,8,3,15
2020-02-10,14,11,14,9,3,15
2020-02-11,15,11,16,9,3,15
2020-02-12,16,11,16,9,3,15
2020-02-13,17,11,16,9,3,15
2020-02-14,18,11,16,9,3,15
2020-02-15,18,12,16,9,3,15
2020-02-16,18,12,16,9,3,15
2020-02-17,19,12,16,10,3,15
2020-02-18,19,12,16,10,3,15
2020-02-19,20,12,16,10,3,15
2020-02-20,22,12,16,11,3,15
2020-02-21,23,12,16,13,3,15
2020-02-22,23,12,16,14,3,15
2020-02-23,28,12,16,15,3,15
2020-02-24,30,12,16,16,3,15
2020-02-25,34,14,16,19,3,15
2020-02-26,37,18,21,20,3,15
2020-02-27,44,38,26,22,3,15
2020-02-28,56,57,53,28,3,15
2020-02-29,61,100,66,33,3,25
2020-03-01,94,130,117,38,3,27
2020-03-02,134,191,150,45,5,30
2020-03-03,189,212,188,51,5,39
2020-03-04,246,288,240,59,28,52
2020-03-05,295,426,349,71,30,55
2020-03-06,374,616,534,90,31,60
2020-03-07,429,948,684,98,34,63
2020-03-08,483,1125,847,120,39,76
2020-03-09,630,1411,1112,144,43,91
2020-03-10,888,1783,1296,165,56,107
2020-03-11,1299,2293,1567,228,62,128
2020-03-12,1788,2293,2369,289,73,128
2020-03-13,2268,3681,3062,386,82,200
2020-03-14,2632,4496,3795,453,102,250
2020-03-15,3074,4532,4838,549,113,297
2020-03-16,3686,6683,6012,700,119,377
2020-03-17,4456,7715,7156,854,142,452
2020-03-18,5462,9124,8198,1097,156,568
2020-03-19,6523,10970,10999,1349,194,681
2020-03-20,7778,12758,13957,1692,244,791
2020-03-21,8975,14463,16662,2195,330,1071
2020-03-22,10398,16761,18610,2651,396,1549
2020-03-23,12747,20120,22672,3297,499,1682
2020-03-24,15139,22372,27436,3996,536,2044
2020-03-25,17847,25331,31554,4569,657,2364
2020-03-26,20958,29252,36508,5511,727,2810
2020-03-27,24203,33045,42288,6380,887,3143
2020-03-28,27055,37693,48582,7310,987,3640
2020-03-29,29949,40296,52547,8246,1024,3984
2020-03-30,34251,44645,57298,9478,1251,4361
2020-03-31,38788,52281,61913,10711,1397,4559
2020-04-01,43755,57125,67366,12023,1998,4862
2020-04-02,48694,59227,73522,13742,2543,5116
2020-04-03,53645,64452,79696,15072,2567,5330
2020-04-04,57739,47376,85778,16410,3082,5550
2020-04-05,61359,48225,91714,17599,3588,5687
2020-04-06,66715,50884,95391,19100,4778,5797
2020-04-07,72199,47395,99225,20488,5311,5895
2020-04-08,77369,51250,103228,21724,5916,6010
2020-04-09,82281,55034,108202,23104,6725,6108
2020-04-10,86620,56600,113525,24248,7598,6215
2020-04-11,90248,58045,117658,25624,8446,6303
2020-04-12,93784,108792,120479,26966,9205,6315
2020-04-13,97993,111933,123016,28763,10453,6351
2020-04-14,102352,129381,125098,30452,11487,6415
2020-04-15,107454,132588,127584,32199,12322,6440
2020-04-16,112792,145166,130450,33965,13430,6462
2020-04-17,117777,147057,133830,36091,14352,6522
2020-04-18,122508,150861,137439,37617,15722,6568
2020-04-19,126375,151955,139897,39317,17615,6610
2020-04-20,131252,154402,141672,41029,18539,6623
2020-04-21,136023,157068,143457,42619,20080,6645
2020-04-22,141529,158867,145694,44465,21370,6652
2020-04-23,146682,157158,148046,46274,23077,6662
2020-04-24,151662,159969,150383,47914,24530,6677
2020-04-25,155445,161647,152438,49496,26283,6694
2020-04-26,158920,162280,154175,50707,27890,6714
2020-04-27,163627,165966,155193,52363,29451,6721
2020-04-28,168351,169098,156337,53886,31324,6744
2020-04-29,173796,167643,157641,55575,33062,6752
2020-04-30,178765,168861,159119,57214,34863,6766
2020-05-01,183500,169387,160758,59025,37257,6778
2020-05-02,186726,170179,161703,60381,39699,6799
2020-05-03,189702,170540,162496,61640,42505,6822
2020-05-04,193086,171102,163175,63016,46437,6847
2020-05-05,196775,172219,163860,64411,49400,6875
2020-05-06,200612,176355,164807,65927,52987,6894
2020-05-07,204383,177096,166091,67198,56351,6913
2020-05-08,207435,177627,167300,68398,59695,6918
2020-05-09,209585,178155,168551,69544,62808,6939
2020-05-10,211907,178404,169218,70582,67161,6948
2020-05-11,215495,178719,169575,71606,70768,6970
2020-05-12,218892,179472,170508,72723,74292,6980
2020-05-13,222191,179993,171306,73950,78055,6989
2020-05-14,224809,180635,172239,75060,81997,7019
2020-05-15,227330,181148,173152,76331,85784,7035
2020-05-16,229397,181563,173772,77486,90648,7044
2020-05-17,231223,181703,174355,78694,95698,7054
2020-05-18,233799,182147,174697,79780,100328,7068
2020-05-19,236862,182648,175210,80782,106475,7072
2020-05-20,239572,183129,176007,82038,112028,7081
2020-05-21,242126,183396,176752,83153,118226,7095
2020-05-22,244170,184152,177212,84243,124794,7099
2020-05-23,245678,184698,177850,85150,131423,7114
2020-05-24,247033,184259,178281,86103,138536,7114
2020-05-25,248645,184584,178570,87067,144950,7126
2020-05-26,250304,184839,179002,87834,150793,7139
2020-05-27,252113,185012,179364,88719,158086,7150
2020-05-28,253849,188355,179717,89506,165386,7165
2020-05-29,255358,188949,180458,90575,173491,7184
2020-05-30,256465,190743,181196,91337,181827,7192
2020-05-31,257535,190975,181482,92067,190609,7202
2020-06-01,258979,191382,181815,92863,198370,7221
2020-06-02,260449,190735,182028,93490,207191,7229
2020-06-03,261797,187509,182370,94172,216824,7240
2020-06-04,263035,191869,182764,94754,226713,7247
2020-06-05,264146,192450,183271,95281,236184,7252
2020-06-06,264938,193022,183678,95805,246622,7259
2020-06-07,265656,193363,183979,96217,257486,7265
2020-06-08,266751,193637,184193,96668,265928,7267
2020-06-09,267909,194190,184543,97102,276146,7274
2020-06-10,269097,194815,184861,97592,286605,7285
2020-06-11,270104,195179,185416,98004,297535,7289
2020-06-12,271158,195980,185674,98465,308993,7294
2020-06-13,272046,196477,186022,98806,320922,7320
2020-06-14,272853,196867,186269,99108,332424,7335
2020-06-15,273881,197003,186461,99485,343091,7347
2020-06-16,274964,197666,186839,99844,354065,7370
2020-06-17,275964,198155,187184,100232,366946,7391
2020-06-18,276984,198741,187764,100638,380532,7409
2020-06-19,277970,199528,188534,101026,395048,7411
2020-06-20,278636,200147,189135,101341,410451,7461
2020-06-21,279260,200490,189822,101649,425282,7474
2020-06-22,280152,200632,190359,102004,440215,7492
2020-06-23,281034,201330,190862,102322,456183,7521
2020-06-24,281810,201598,191449,102642,473105,7558
2020-06-25,282507,201853,192079,102936,490401,7595
2020-06-26,283148,203116,192556,103263,508953,7601
2020-06-27,283782,203564,193243,103665,528859,7686
2020-06-28,284189,203157,193499,103978,548318,7764
2020-06-29,284809,203802,193761,104274,566840,7834
2020-06-30,285213,204244,194259,104608,585481,7920
2020-07-01,285276,205234,194725,104830,604641,8001
2020-07-02,285282,205773,195228,105179,625544,8066
2020-07-03,285784,206312,195674,105497,648315,8260
2020-07-04,286409,206670,196096,105725,673165,8443
2020-07-05,286928,206682,196335,105882,697413,8583
2020-07-06,287281,207700,196554,106234,719664,8755
2020-07-07,287865,208154,196944,106547,742417,8886
2020-07-08,288507,208976,197341,106868,767296,9056
2020-07-09,289150,209420,197783,107202,793802,9374
2020-07-10,289674,210135,198178,107550,820916,9553
2020-07-11,290500,210386,198556,107790,849522,9797
2020-07-12,291150,210402,198804,108004,878254,9980
2020-07-13,291683,211825,198963,108546,906752,10251
2020-07-14,292927,211887,199375,108972,936181,10487
2020-07-15,293465,212614,199726,109378,968857,10810
2020-07-16,294110,213183,200260,109860,1003832,11233
2020-07-17,294797,214009,200843,110389,1039084,11441
2020-07-18,295628,214174,201372,110773,1077781,11802
2020-07-19,296354,214178,201574,111026,1118206,12069
2020-07-20,296940,216089,201823,111821,1155338,12428
2020-07-21,297385,216684,202345,112281,1193078,12894
2020-07-22,297948,217605,202799,112663,1238798,13302
2020-07-23,298727,218841,203368,113399,1288108,13595
2020-07-24,299495,219932,204183,113836,1337024,13950
2020-07-25,300265,220016,204964,114172,1385635,14403
2020-07-26,301016,220020,205269,114479,1435616,14935
2020-07-27,301704,222508,205609,115110,1480073,15303
2020-07-28,302254,223072,206242,115487,1531669,15582
2020-07-29,303058,224542,206926,115988,1581963,16298
2020-07-30,303906,225936,207828,116434,1634746,16903
2020-07-31,304789,227239,208698,116886,1695988,17280
2020-08-01,305558,227301,209653,117140,1750723,17895
2020-08-02,306305,227304,209893,117324,1803695,18318
2020-08-03,307244,230665,210402,117591,1855745,18730
2020-08-04,307915,231636,211281,118280,1908254,19445
2020-08-05,308823,233344,212022,118638,1964536,19890
2020-08-06,309786,234945,213067,118971,2027074,20272
