doubling every day;doubling every 2 days;doubling every 4 days;doubling every 10 days;United Kingdom;France;Germany;Canada;India;Australia;date
100.0;100.0;100.0;100.0;134.0;130.0;117.0;120.0;102.0;107.0;0
200.0;141.4213562373095;118.9207115002721;107.17734625362931;189.0;191.0;150.0;144.0;113.0;128.0;1
400.0;200.0;141.4213562373095;114.86983549970351;246.0;212.0;188.0;165.0;119.0;128.0;2
800.0;282.842712474619;168.1792830507429;123.11444133449163;295.0;288.0;240.0;228.0;142.0;200.0;3
1600.0;400.0;200.0;131.9507910772894;374.0;426.0;349.0;289.0;156.0;250.0;4
3200.0;565.685424949238;237.8414230005442;141.4213562373095;429.0;616.0;534.0;386.0;194.0;297.0;5
6400.0;800.0;282.842712474619;151.5716566510398;483.0;948.0;684.0;453.0;244.0;377.0;6
12800.0;1131.370849898476;336.3585661014858;162.4504792712471;630.0;1125.0;847.0;549.0;330.0;452.0;7
25600.0;1600.0;400.0;174.11011265922482;888.0;1411.0;1112.0;700.0;396.0;568.0;8
51200.0;2262.741699796952;475.6828460010884;186.60659830736148;1299.0;1783.0;1296.0;854.0;499.0;681.0;9
102400.0;3200.0;565.685424949238;200.0;1788.0;2293.0;1567.0;1097.0;536.0;791.0;10
204800.0;4525.483399593904;672.7171322029716;214.35469250725862;2268.0;2293.0;2369.0;1349.0;657.0;1071.0;11
409600.0;6400.0;800.0;229.73967099940697;2632.0;3681.0;3062.0;1692.0;727.0;1549.0;12
819200.0;9050.966799187809;951.3656920021768;246.22888266898326;3074.0;4496.0;3795.0;2195.0;887.0;1682.0;13
1638400.0;12800.0;1131.370849898476;263.9015821545788;3686.0;4532.0;4838.0;2651.0;987.0;2044.0;14
3276800.0;18101.933598375617;1345.4342644059432;282.842712474619;4456.0;6683.0;6012.0;3297.0;1024.0;2364.0;15
6553600.0;25600.0;1600.0;303.14331330207966;5462.0;7715.0;7156.0;3996.0;1251.0;2810.0;16
13107200.0;36203.867196751235;1902.7313840043537;324.9009585424942;6523.0;9124.0;8198.0;4569.0;1397.0;3143.0;17
26214400.0;51200.0;2262.741699796952;348.22022531844965;7778.0;10970.0;10999.0;5511.0;1998.0;3640.0;18
52428800.0;72407.73439350247;2690.8685288118863;373.21319661472296;8975.0;12758.0;13957.0;6380.0;2543.0;3984.0;19
104857600.0;102400.0;3200.0;400.0;10398.0;14463.0;16662.0;7310.0;2567.0;4361.0;20
209715200.0;144815.46878700494;3805.4627680087074;428.70938501451724;12747.0;16761.0;18610.0;8246.0;3082.0;4559.0;21
419430400.0;204800.0;4525.483399593904;459.47934199881405;15139.0;20120.0;22672.0;9478.0;3588.0;4862.0;22
838860800.0;289630.9375740099;5381.737057623773;492.4577653379664;17847.0;22372.0;27436.0;10711.0;4778.0;5116.0;23
1677721600.0;409600.0;6400.0;527.8031643091576;20958.0;25331.0;31554.0;12023.0;5311.0;5330.0;24
3355443200.0;579261.8751480198;7610.925536017415;565.685424949238;24203.0;29252.0;36508.0;13742.0;5916.0;5550.0;25
6710886400.0;819200.0;9050.966799187809;606.2866266041593;27055.0;33045.0;42288.0;15072.0;6725.0;5687.0;26
13421772800.0;1158523.7502960395;10763.474115247545;649.8019170849884;29949.0;37693.0;48582.0;16410.0;7598.0;5797.0;27
26843545600.0;1638400.0;12800.0;696.4404506368992;34251.0;40296.0;52547.0;17599.0;8446.0;5895.0;28
53687091200.0;2317047.500592079;15221.85107203483;746.4263932294459;38788.0;44645.0;57298.0;19100.0;9205.0;6010.0;29
107374182400.0;3276800.0;18101.933598375617;800.0;43755.0;52281.0;61913.0;20488.0;10453.0;6108.0;30
214748364800.0;4634095.001184158;21526.94823049509;857.4187700290345;48694.0;57125.0;67366.0;21724.0;11487.0;6215.0;31
429496729600.0;6553600.0;25600.0;918.9586839976281;53645.0;59227.0;73522.0;23104.0;12322.0;6303.0;32
858993459200.0;9268190.002368316;30443.70214406966;984.9155306759328;57739.0;64452.0;79696.0;24248.0;13430.0;6315.0;33
1717986918400.0;13107200.0;36203.867196751235;1055.6063286183153;61359.0;47376.0;85778.0;25624.0;14352.0;6351.0;34
3435973836800.0;18536380.004736632;43053.89646099018;1131.370849898476;66715.0;48225.0;91714.0;26966.0;15722.0;6415.0;35
6871947673600.0;26214400.0;51200.0;1212.5732532083186;72199.0;50884.0;95391.0;28763.0;17615.0;6440.0;36
13743895347200.0;37072760.009473264;60887.40428813932;1299.6038341699768;77369.0;47395.0;99225.0;30452.0;18539.0;6462.0;37
27487790694400.0;52428800.0;72407.73439350247;1392.8809012737984;82281.0;51250.0;103228.0;32199.0;20080.0;6522.0;38
54975581388800.0;74145520.01894653;86107.79292198036;1492.8527864588918;86620.0;55034.0;108202.0;33965.0;21370.0;6568.0;39
109951162777600.0;104857600.0;102400.0;1600.0;90248.0;56600.0;113525.0;36091.0;23077.0;6610.0;40
219902325555200.0;148291040.03789306;121774.80857627864;1714.8375400580687;93784.0;58045.0;117658.0;37617.0;24530.0;6623.0;41
439804651110400.0;209715200.0;144815.46878700494;1837.9173679952562;97993.0;108792.0;120479.0;39317.0;26283.0;6645.0;42
879609302220800.0;296582080.0757861;172215.58584396073;1969.8310613518656;102352.0;111933.0;123016.0;41029.0;27890.0;6652.0;43
1759218604441600.0;419430400.0;204800.0;2111.2126572366315;107454.0;129381.0;125098.0;42619.0;29451.0;6662.0;44
3518437208883200.0;593164160.1515722;243549.61715255727;2262.741699796952;112792.0;132588.0;127584.0;44465.0;31324.0;6677.0;45
7036874417766400.0;838860800.0;289630.9375740099;2425.1465064166364;117777.0;145166.0;130450.0;46274.0;33062.0;6694.0;46
1.40737488355328e+16;1186328320.3031445;344431.17168792145;2599.2076683399537;122508.0;147057.0;133830.0;47914.0;34863.0;6714.0;47
2.81474976710656e+16;1677721600.0;409600.0;2785.7618025475967;126375.0;150861.0;137439.0;49496.0;37257.0;6721.0;48
5.62949953421312e+16;2372656640.606289;487099.23430511454;2985.7055729177846;131252.0;151955.0;139897.0;50707.0;39699.0;6744.0;49
1.125899906842624e+17;3355443200.0;579261.8751480198;3200.0;136023.0;154402.0;141672.0;52363.0;42505.0;6752.0;50
2.251799813685248e+17;4745313281.212578;688862.3433758429;3429.6750801161375;141529.0;157068.0;143457.0;53886.0;46437.0;6766.0;51
4.503599627370496e+17;6710886400.0;819200.0;3675.8347359905124;146682.0;158867.0;145694.0;55575.0;49400.0;6778.0;52
9.007199254740992e+17;9490626562.425156;974198.4686102291;3939.6621227037313;151662.0;157158.0;148046.0;57214.0;52987.0;6799.0;53
1.8014398509481984e+18;13421772800.0;1158523.7502960395;4222.425314473263;155445.0;159969.0;150383.0;59025.0;56351.0;6822.0;54
3.602879701896397e+18;18981253124.85031;1377724.6867516858;4525.483399593904;158920.0;161647.0;152438.0;60381.0;59695.0;6847.0;55
7.205759403792794e+18;26843545600.0;1638400.0;4850.293012833273;163627.0;162280.0;154175.0;61640.0;62808.0;6875.0;56
1.4411518807585587e+19;37962506249.70062;1948396.9372204582;5198.415336679907;168351.0;165966.0;155193.0;63016.0;67161.0;6894.0;57
2.8823037615171174e+19;53687091200.0;2317047.500592079;5571.5236050951935;173796.0;169098.0;156337.0;64411.0;70768.0;6913.0;58
5.764607523034235e+19;75925012499.40125;2755449.3735033716;5971.411145835569;178765.0;167643.0;157641.0;65927.0;74292.0;6918.0;59
1.152921504606847e+20;107374182400.0;3276800.0;6400.0;183500.0;168861.0;159119.0;67198.0;78055.0;6939.0;60
2.305843009213694e+20;151850024998.8025;3896793.8744409163;6859.350160232275;186726.0;169387.0;160758.0;68398.0;81997.0;6948.0;61
4.611686018427388e+20;214748364800.0;4634095.001184158;7351.669471981025;189702.0;170179.0;161703.0;69544.0;85784.0;6970.0;62
9.223372036854776e+20;303700049997.605;5510898.747006743;7879.3242454074625;193086.0;170540.0;162496.0;70582.0;90648.0;6980.0;63
1.8446744073709552e+21;429496729600.0;6553600.0;8444.850628946526;196775.0;171102.0;163175.0;71606.0;95698.0;6989.0;64
3.6893488147419103e+21;607400099995.21;7793587.748881833;9050.966799187809;200612.0;172219.0;163860.0;72723.0;100328.0;7019.0;65
7.378697629483821e+21;858993459200.0;9268190.002368316;9700.586025666546;204383.0;176355.0;164807.0;73950.0;106475.0;7035.0;66
1.4757395258967641e+22;1214800199990.42;11021797.494013486;10396.830673359815;207435.0;177096.0;166091.0;75060.0;112028.0;7044.0;67
2.9514790517935283e+22;1717986918400.0;13107200.0;11143.047210190387;209585.0;177627.0;167300.0;76331.0;118226.0;7054.0;68
5.9029581035870565e+22;2429600399980.84;15587175.497763665;11942.822291671138;211907.0;178155.0;168551.0;77486.0;124794.0;7068.0;69
1.1805916207174113e+23;3435973836800.0;18536380.004736632;12800.0;215495.0;178404.0;169218.0;78694.0;131423.0;7072.0;70
2.3611832414348226e+23;4859200799961.68;22043594.988026973;13718.70032046455;218892.0;178719.0;169575.0;79780.0;138536.0;7081.0;71
4.722366482869645e+23;6871947673600.0;26214400.0;14703.33894396205;222191.0;179472.0;170508.0;80782.0;144950.0;7095.0;72
9.44473296573929e+23;9718401599923.36;31174350.99552733;15758.648490814925;224809.0;179993.0;171306.0;82038.0;150793.0;7099.0;73
1.888946593147858e+24;13743895347200.0;37072760.009473264;16889.70125789305;227330.0;180635.0;172239.0;83153.0;158086.0;7114.0;74
3.777893186295716e+24;19436803199846.72;44087189.976053946;18101.933598375617;229397.0;181148.0;173152.0;84243.0;165386.0;7114.0;75
7.555786372591432e+24;27487790694400.0;52428800.0;19401.17205133309;231223.0;181563.0;173772.0;85150.0;173491.0;7126.0;76
1.5111572745182865e+25;38873606399693.44;62348701.99105466;20793.66134671963;233799.0;181703.0;174355.0;86103.0;181827.0;7139.0;77
3.022314549036573e+25;54975581388800.0;74145520.01894653;22286.094420380774;236862.0;182147.0;174697.0;87067.0;190609.0;7150.0;78
6.044629098073146e+25;77747212799386.88;88174379.95210789;23885.644583342277;239572.0;182648.0;175210.0;87834.0;198370.0;7165.0;79
1.2089258196146292e+26;109951162777600.0;104857600.0;25600.0;242126.0;183129.0;176007.0;88719.0;207191.0;7184.0;80
2.4178516392292583e+26;155494425598773.75;124697403.98210932;27437.4006409291;244170.0;183396.0;176752.0;89506.0;216824.0;7192.0;81
4.835703278458517e+26;219902325555200.0;148291040.03789306;29406.67788792408;245678.0;184152.0;177212.0;90575.0;226713.0;7202.0;82
9.671406556917033e+26;310988851197547.5;176348759.90421578;31517.296981629876;247033.0;184698.0;177850.0;91337.0;236184.0;7221.0;83
1.9342813113834067e+27;439804651110400.0;209715200.0;33779.4025157861;248645.0;184259.0;178281.0;92067.0;246622.0;7229.0;84
3.8685626227668134e+27;621977702395095.0;249394807.96421865;36203.867196751235;250304.0;184584.0;178570.0;92863.0;257486.0;7240.0;85
7.737125245533627e+27;879609302220800.0;296582080.0757861;38802.34410266618;252113.0;184839.0;179002.0;93490.0;265928.0;7247.0;86
1.5474250491067253e+28;1243955404790190.0;352697519.80843157;41587.32269343924;253849.0;185012.0;179364.0;94172.0;276146.0;7252.0;87
3.0948500982134507e+28;1759218604441600.0;419430400.0;44572.18884076158;255358.0;188355.0;179717.0;94754.0;286605.0;7259.0;88
